date,customers_bop,new_customers,churned_customers,customers_eop,arpa,mrr,revenue,cogs,gross_profit,rd_headcount,sm_headcount,ga_headcount,rd_expense,sm_expense,ga_expense,opex,operating_income,cash_flow,cash_balance,churn_rate,cogs_pct,seasonality_factor
2022-01-01,500,38,12,526,215.59,113398.95,113398.95,27630.25,85768.69,25,20,12,386592.66,269367.83,173090.98,829051.46,-743282.77,-743282.77,1256717.23,0.025,0.24,1.02
2022-02-01,526,47,13,560,219.57,122957.86,122957.86,29299.7,93658.16,25,20,12,385695.3,270653.3,167139.77,823488.37,-729830.21,-729830.21,526887.02,0.0248,0.2394,1.0346
2022-03-01,560,39,14,585,217.42,127192.65,127192.65,30469.05,96723.6,26,21,12,399340.66,279496.12,172897.47,851734.25,-755010.65,-755010.65,-228123.63,0.0246,0.2388,1.04
2022-04-01,585,34,14,605,218.64,132278.54,132278.54,31337.22,100941.32,26,21,12,403447.02,280236.93,171040.19,854724.14,-753782.82,-753782.82,-981906.45,0.0244,0.2382,1.0346
2022-05-01,605,37,15,627,215.34,135020.95,135020.95,32675.21,102345.74,26,21,12,402945.61,280501.39,171801.62,855248.61,-752902.87,-752902.87,-1734809.32,0.0242,0.2376,1.02
2022-06-01,627,37,15,649,210.4,136549.34,136549.34,31932.36,104616.98,26,22,12,403793.35,299193.25,170692.01,873678.61,-769061.63,-769061.63,-2503870.95,0.024,0.237,1.0
2022-07-01,649,30,15,664,209.09,138833.05,138833.05,32721.31,106111.74,27,22,12,412312.39,294862.06,169615.07,876789.52,-770677.78,-770677.78,-3274548.73,0.0238,0.2364,0.98
2022-08-01,664,37,16,685,208.97,143141.58,143141.58,33862.17,109279.41,27,22,12,416888.43,294989.54,171442.3,883320.27,-774040.86,-774040.86,-4048589.59,0.0236,0.2358,0.9654
2022-09-01,685,45,16,714,204.48,145996.91,145996.91,34232.29,111764.62,27,23,12,419886.34,313529.07,169583.49,902998.89,-791234.28,-791234.28,-4839823.87,0.0234,0.2352,0.96
2022-10-01,714,38,17,735,207.55,152550.92,152550.92,36079.24,116471.68,27,23,13,424175.86,310276.41,186452.52,920904.79,-804433.11,-804433.11,-5644256.98,0.0232,0.2346,0.9654
2022-11-01,735,33,17,751,212.45,159546.2,159546.2,37908.02,121638.18,28,23,13,433844.51,315358.22,179763.95,928966.68,-807328.51,-807328.51,-6451585.49,0.023,0.234,0.98
2022-12-01,751,38,17,772,218.38,168589.55,168589.55,39262.36,129327.18,28,24,13,435549.87,328788.38,183643.27,947981.52,-818654.33,-818654.33,-7270239.82,0.0228,0.2334,1.0
2023-01-01,772,36,17,791,219.75,173824.49,173824.49,40263.3,133561.19,28,24,13,437972.85,325065.15,183622.06,946660.06,-813098.87,-813098.87,-8083338.69,0.0226,0.2328,1.02
2023-02-01,791,52,18,825,226.5,186863.68,186863.68,43085.13,143778.56,28,24,13,432577.95,322729.57,181898.35,937205.87,-793427.31,-793427.31,-8876766.0,0.0224,0.2322,1.0346
2023-03-01,825,41,18,848,226.36,191951.22,191951.22,44099.24,147851.98,29,25,13,448775.02,338863.67,188081.9,975720.59,-827868.61,-827868.61,-9704634.62,0.0222,0.2316,1.04
2023-04-01,848,40,19,869,226.98,197247.32,197247.32,44689.86,152557.46,29,25,13,449380.82,337703.28,189147.14,976231.24,-823673.78,-823673.78,-10528308.4,0.022,0.231,1.0346
2023-05-01,869,28,19,878,223.56,196286.67,196286.67,45360.82,150925.85,29,25,13,449343.97,333555.71,186709.65,969609.33,-818683.49,-818683.49,-11346991.89,0.0218,0.2304,1.02
2023-06-01,878,37,19,896,221.86,198782.76,198782.76,46321.08,152461.68,30,26,13,458481.39,353059.87,188643.58,1000184.84,-847723.16,-847723.16,-12194715.05,0.0216,0.2298,1.0
2023-07-01,896,39,19,916,216.6,198405.26,198405.26,45245.53,153159.73,30,26,13,457789.42,351240.66,182638.99,991669.06,-838509.33,-838509.33,-13033224.38,0.0214,0.2292,0.98
2023-08-01,916,47,19,944,214.74,202717.1,202717.1,45978.16,156738.94,30,27,13,463502.41,367465.27,182327.82,1013295.51,-856556.57,-856556.57,-13889780.95,0.0212,0.2286,0.9654
2023-09-01,944,50,20,974,209.69,204242.08,204242.08,46653.17,157588.91,31,27,13,481748.74,367349.74,182316.59,1031415.07,-873826.16,-873826.16,-14763607.11,0.021,0.228,0.96
2023-10-01,974,53,20,1007,212.05,213535.75,213535.75,48227.82,165307.93,31,27,13,481615.98,365568.25,183281.31,1030465.54,-865157.6,-865157.6,-15628764.71,0.0208,0.2274,0.9654
2023-11-01,1007,44,21,1030,216.13,222614.1,222614.1,50820.36,171793.73,31,28,13,475816.65,380975.18,186738.77,1043530.6,-871736.87,-871736.87,-16500501.58,0.0206,0.2268,0.98
2023-12-01,1030,47,21,1056,221.96,234393.26,234393.26,53455.61,180937.65,31,28,13,489614.09,377072.43,183208.6,1049895.13,-868957.48,-868957.48,-17369459.06,0.0204,0.2262,1.0
2024-01-01,1056,39,21,1074,228.71,245636.18,245636.18,55604.57,190031.6,32,29,14,497372.39,394738.42,198825.85,1090936.66,-900905.05,-900905.05,-18270364.11,0.0202,0.2256,1.02
2024-02-01,1074,45,21,1098,236.18,259323.41,259323.41,58712.83,200610.58,32,29,14,491748.5,387307.46,199759.16,1078815.11,-878204.53,-878204.53,-19148568.64,0.02,0.225,1.0346
2024-03-01,1098,55,22,1131,235.73,266615.53,266615.53,59784.95,206830.57,32,29,14,491799.9,385569.37,197912.33,1075281.6,-868451.03,-868451.03,-20017019.67,0.0198,0.2244,1.04
